"step","lineKey","lineVal"
"0","client_0","0"
"1","client_0","1"
"2","client_0","1"
"3","client_0","1"
"4","client_0","1"
"5","client_0","1"
"6","client_0","1"
"7","client_0","1"
"8","client_0","1"
"9","client_0","1"
"10","client_0","1"
"11","client_0","1"
"12","client_0","1"
"13","client_0","1"
"14","client_0","1"
"15","client_0","1"
"16","client_0","1"
"17","client_0","1"
"18","client_0","1"
"19","client_0","1"
"20","client_0","1"
"21","client_0","1"
"22","client_0","1"
"23","client_0","1"
"24","client_0","1"
"25","client_0","1"
"26","client_0","1"
"27","client_0","1"
"28","client_0","1"
"29","client_0","1"
"0","client_1","0"
"1","client_1","1"
"2","client_1","1"
"3","client_1","1"
"4","client_1","1"
"5","client_1","1"
"6","client_1","1"
"7","client_1","1"
"8","client_1","1"
"9","client_1","1"
"10","client_1","1"
"11","client_1","1"
"12","client_1","1"
"13","client_1","1"
"14","client_1","1"
"15","client_1","1"
"16","client_1","1"
"17","client_1","1"
"18","client_1","1"
"19","client_1","1"
"20","client_1","1"
"21","client_1","1"
"22","client_1","1"
"23","client_1","1"
"24","client_1","1"
"25","client_1","1"
"26","client_1","1"
"27","client_1","1"
"28","client_1","1"
"29","client_1","1"
"0","client_2","0"
"1","client_2","0"
"2","client_2","1"
"3","client_2","1"
"4","client_2","1"
"5","client_2","1"
"6","client_2","1"
"7","client_2","1"
"8","client_2","1"
"9","client_2","1"
"10","client_2","1"
"11","client_2","1"
"12","client_2","1"
"13","client_2","1"
"14","client_2","1"
"15","client_2","1"
"16","client_2","1"
"17","client_2","1"
"18","client_2","1"
"19","client_2","1"
"20","client_2","1"
"21","client_2","1"
"22","client_2","1"
"23","client_2","1"
"24","client_2","1"
"25","client_2","1"
"26","client_2","1"
"27","client_2","1"
"28","client_2","1"
"29","client_2","1"
"0","client_3","1"
"1","client_3","1"
"2","client_3","1"
"3","client_3","1"
"4","client_3","1"
"5","client_3","1"
"6","client_3","1"
"7","client_3","1"
"8","client_3","1"
"9","client_3","1"
"10","client_3","1"
"11","client_3","1"
"12","client_3","1"
"13","client_3","1"
"14","client_3","1"
"15","client_3","1"
"16","client_3","1"
"17","client_3","1"
"18","client_3","1"
"19","client_3","1"
"20","client_3","1"
"21","client_3","1"
"22","client_3","1"
"23","client_3","1"
"24","client_3","1"
"25","client_3","1"
"26","client_3","1"
"27","client_3","1"
"28","client_3","1"
"29","client_3","1"
"0","client_4","1"
"1","client_4","1"
"2","client_4","1"
"3","client_4","1"
"4","client_4","1"
"5","client_4","0"
"6","client_4","1"
"7","client_4","1"
"8","client_4","1"
"9","client_4","1"
"10","client_4","1"
"11","client_4","1"
"12","client_4","1"
"13","client_4","1"
"14","client_4","1"
"15","client_4","1"
"16","client_4","1"
"17","client_4","1"
"18","client_4","1"
"19","client_4","1"
"20","client_4","1"
"21","client_4","1"
"22","client_4","1"
"23","client_4","1"
"24","client_4","1"
"25","client_4","1"
"26","client_4","1"
"27","client_4","1"
"28","client_4","1"
"29","client_4","1"
"0","client_5","1"
"1","client_5","1"
"2","client_5","1"
"3","client_5","1"
"4","client_5","1"
"5","client_5","1"
"6","client_5","1"
"7","client_5","1"
"8","client_5","1"
"9","client_5","1"
"10","client_5","1"
"11","client_5","1"
"12","client_5","1"
"13","client_5","1"
"14","client_5","1"
"15","client_5","1"
"16","client_5","1"
"17","client_5","1"
"18","client_5","1"
"19","client_5","1"
"20","client_5","1"
"21","client_5","1"
"22","client_5","1"
"23","client_5","1"
"24","client_5","1"
"25","client_5","1"
"26","client_5","1"
"27","client_5","1"
"28","client_5","1"
"29","client_5","1"
"0","client_6","1"
"1","client_6","1"
"2","client_6","1"
"3","client_6","1"
"4","client_6","1"
"5","client_6","1"
"6","client_6","1"
"7","client_6","1"
"8","client_6","1"
"9","client_6","1"
"10","client_6","1"
"11","client_6","1"
"12","client_6","1"
"13","client_6","1"
"14","client_6","1"
"15","client_6","1"
"16","client_6","1"
"17","client_6","1"
"18","client_6","1"
"19","client_6","1"
"20","client_6","1"
"21","client_6","1"
"22","client_6","1"
"23","client_6","1"
"24","client_6","1"
"25","client_6","1"
"26","client_6","1"
"27","client_6","1"
"28","client_6","1"
"29","client_6","1"
"0","client_7","1"
"1","client_7","1"
"2","client_7","1"
"3","client_7","1"
"4","client_7","1"
"5","client_7","1"
"6","client_7","1"
"7","client_7","1"
"8","client_7","1"
"9","client_7","1"
"10","client_7","1"
"11","client_7","1"
"12","client_7","1"
"13","client_7","1"
"14","client_7","1"
"15","client_7","1"
"16","client_7","1"
"17","client_7","1"
"18","client_7","1"
"19","client_7","1"
"20","client_7","1"
"21","client_7","1"
"22","client_7","1"
"23","client_7","1"
"24","client_7","1"
"25","client_7","1"
"26","client_7","1"
"27","client_7","1"
"28","client_7","1"
"29","client_7","1"
"0","client_8","1"
"1","client_8","1"
"2","client_8","1"
"3","client_8","1"
"4","client_8","1"
"5","client_8","1"
"6","client_8","1"
"7","client_8","1"
"8","client_8","1"
"9","client_8","1"
"10","client_8","1"
"11","client_8","1"
"12","client_8","1"
"13","client_8","1"
"14","client_8","1"
"15","client_8","1"
"16","client_8","1"
"17","client_8","1"
"18","client_8","1"
"19","client_8","1"
"20","client_8","1"
"21","client_8","1"
"22","client_8","1"
"23","client_8","1"
"24","client_8","1"
"25","client_8","1"
"26","client_8","1"
"27","client_8","1"
"28","client_8","1"
"29","client_8","1"
"0","client_9","1"
"1","client_9","1"
"2","client_9","1"
"3","client_9","1"
"4","client_9","1"
"5","client_9","1"
"6","client_9","1"
"7","client_9","1"
"8","client_9","1"
"9","client_9","1"
"10","client_9","1"
"11","client_9","1"
"12","client_9","1"
"13","client_9","1"
"14","client_9","1"
"15","client_9","1"
"16","client_9","1"
"17","client_9","1"
"18","client_9","1"
"19","client_9","1"
"20","client_9","1"
"21","client_9","1"
"22","client_9","1"
"23","client_9","1"
"24","client_9","1"
"25","client_9","1"
"26","client_9","1"
"27","client_9","1"
"28","client_9","1"
"29","client_9","1"